NOME;REGISTRO;NASCIMENTO;IABCZ;DECA;F;DEP_PN_ED;DEP_PD_ED;DEP_PA_ED;DEP_PS_ED;DEP_PM_EM;DEP_TMD;DEP_IPP;DEP_STAY;DEP_PE_365;DEP_PE_450;DEP_E;DEP_P;DEP_M;DEP_AOL;DEP_ACAB;DEP_MAR;AC_PN_ED;AC_PD_ED;AC_PA_ED;AC_PS_ED;AC_PM_EM;AC_TMD;AC_IPP;AC_STAY;AC_PE_365;AC_PE_450;AC_E;AC_P;AC_M;AC_AOL;AC_ACAB;AC_MAR;DECA_PN_ED;DECA_PD_ED;DECA_PA_ED;DECA_PS_ED;DECA_PM_EM;DECA_TMD;DECA_IPP;DECA_STAY;DECA_PE_365;DECA_PE_450;DECA_E;DECA_P;DECA_M;DECA_AOL;DECA_ACAB;DECA_MAR
OPOSITOR DA DI GENIO;JCDG8722;11/07/2016;16,5;1;1,17;0,83;83;10;10,83;83;1;13,16;77;1;12,47;79;1;1,11;40;3;6,65;0;1;-21,92;34;1;31,00;25;4;0,676;59;1;0,508;59;2;0,930;66;3;1,410;66;3;1,878;66;1;2,117;60;1;-2,724;48;10;-1,66;35;10
BALDO;SNI3844;02/11/2004;16,47;1;0,0;0,30;79;8;6,36;79;1;8,56;77;1;10,28;78;1;1,98;63;1;6,06;0;1;-18,74;52;1;37,51;31;1;0,221;41;3;-0,348;58;8;1,756;74;1;-0,476;74;7;-0,318;74;7;-0,284;26;7;-0,541;16;8;-1,05;16;10
JHVM 10626 CAMPARINO;JHVM10626;12/11/2012;16,46;1;0,39;0,05;91;5;4,70;91;2;12,31;90;1;15,47;91;1;4,78;64;1;7,76;0;1;-15,72;61;1;31,92;27;3;0,857;82;1;0,713;85;1;2,160;75;1;4,231;75;1;1,763;75;2;0,431;76;4;0,452;64;3;-0,77;55;9
RASTAN MAT.;RDM5624;30/10/2011;16,45;1;0,0;0,44;94;9;6,44;95;1;12,14;94;1;19,06;94;1;0,53;83;4;3,24;0;2;-15,33;84;1;33,76;39;2;1,088;90;1;1,474;92;1;1,873;90;1;6,747;90;1;5,461;90;1;1,886;88;1;0,804;82;2;0,35;58;4
REINADOR DA AGUA BOA;OEV2828;02/11/2010;16,41;1;0,39;0,12;69;6;4,09;78;2;9,54;76;1;11,64;77;1;3,48;56;1;7,05;0;1;-23,64;50;1;34,19;42;1;0,620;66;1;1,302;71;1;3,165;79;1;1,124;79;3;1,712;79;2;-1,668;45;10;0,433;33;3;0,70;31;2
JG-2978 DA AGUA FRIA;JCGG2978;12/09/2010;16,4;1;0,59;0,24;45;8;7,51;80;1;13,12;77;1;16,14;79;1;5,50;62;1;10,97;0;1;-18,08;53;1;30,43;44;5;-0,365;69;9;-0,658;76;10;1,875;80;1;-0,507;80;7;-0,190;80;6;1,641;74;1;-1,289;65;10;-1,78;11;10
2832 DE MARIPA;MBO2832;30/08/2013;16,39;1;0,39;0,34;78;9;7,39;76;1;10,41;71;1;11,73;74;1;3,59;37;1;7,92;0;1;-13,12;30;2;33,65;24;2;0,849;61;1;1,245;62;1;0,383;67;5;5,929;67;1;4,303;67;1;0,694;47;3;1,380;35;1;-0,07;27;6
FISCAL TE VB DA VALE;VBV5589;30/10/2003;16,35;1;2,44;-0,03;75;4;0,68;74;6;7,32;72;2;10,69;73;1;4,13;59;1;6,69;0;1;-13,14;49;2;38,51;42;1;1,014;47;1;2,101;66;1;1,318;77;2;4,746;77;1;2,288;77;1;1,236;29;2;2,288;19;1;-0,08;18;6
GARDEN TE DA  BELA;AZAN1087;16/02/2009;16,31;1;0,0;0,18;73;7;3,93;72;2;10,72;70;1;15,40;71;1;2,95;53;1;6,91;0;1;-4,87;44;4;37,23;44;1;0,738;60;1;0,916;62;1;2,680;35;1;4,521;35;1;3,809;35;1;0,897;60;3;2,046;48;1;0,30;15;4
GALANTIM BONS;BONS1479;18/09/2008;16,29;1;0,39;-0,07;79;4;4,22;82;2;9,57;80;1;13,44;81;1;2,63;63;1;5,32;0;1;-6,20;61;3;38,56;49;1;0,799;72;1;1,608;76;1;0,326;70;5;3,695;70;1;4,813;70;1;3,145;63;1;3,696;51;1;3,10;30;1
C2953 DA MN;MANAC2953;11/12/1998;16,21;1;0,0;-0,34;78;1;0,92;78;6;6,07;75;2;10,76;76;1;2,67;71;1;2,95;0;3;-14,31;59;1;43,39;52;1;0,033;62;6;0,080;69;5;1,627;61;1;3,788;61;1;3,951;61;1;3,151;54;1;0,378;42;4;0,06;37;5
SANTELNO DO GUIRAHY;SZAN349;17/11/2003;16,2;1;0,78;0,52;87;10;3,74;87;3;6,53;77;2;8,32;86;2;0,86;77;3;3,92;0;2;-24,07;71;1;38,51;67;1;0,870;59;1;1,255;82;1;2,839;58;1;3,815;58;1;2,319;58;1;2,220;79;1;1,343;71;1;-0,99;71;9
QUALITY EAO;EAO5921;01/09/2011;16,19;1;0,20;0,67;77;10;5,16;77;2;10,08;75;1;13,67;76;1;3,91;53;1;8,88;0;1;-17,37;45;1;33,88;38;2;0,211;66;4;0,307;71;3;1,342;58;2;3,002;58;1;1,420;58;2;3,929;63;1;-2,393;52;10;1,60;28;1
HASSAN DA S.NICE;GRIB736;10/11/2010;16,16;1;0,0;0,21;87;7;5,31;87;1;7,98;82;1;9,51;84;2;1,83;48;2;5,24;0;1;-12,44;47;2;40,00;29;1;0,284;67;3;0,654;74;2;-0,276;62;7;2,338;62;1;2,655;62;1;2,183;76;1;2,869;67;1;1,67;68;1
