NOME;REGISTRO;NASCIMENTO;IABCZ;DECA;F;DEP_PN_ED;DEP_PD_ED;DEP_PA_ED;DEP_PS_ED;DEP_PM_EM;DEP_TMD;DEP_IPP;DEP_STAY;DEP_PE_365;DEP_PE_450;DEP_E;DEP_P;DEP_M;DEP_AOL;DEP_ACAB;DEP_MAR;AC_PN_ED;AC_PD_ED;AC_PA_ED;AC_PS_ED;AC_PM_EM;AC_TMD;AC_IPP;AC_STAY;AC_PE_365;AC_PE_450;AC_E;AC_P;AC_M;AC_AOL;AC_ACAB;AC_MAR;DECA_PN_ED;DECA_PD_ED;DECA_PA_ED;DECA_PS_ED;DECA_PM_EM;DECA_TMD;DECA_IPP;DECA_STAY;DECA_PE_365;DECA_PE_450;DECA_E;DECA_P;DECA_M;DECA_AOL;DECA_ACAB;DECA_MAR
C8288_DA_MN;LBMNC8288;08/11/2003;24,09;1;2,15;0,37;9,84;14,36;20,66;-0,46;3,66;-27,29;41,6;0,701;0,994;2,353;4,249;3,573;0,644;0,359;0,359;97;97;96;97;94;_;93;91;94;95;95;95;95;93;90;90;9;1;1;1;7;2;1;1;1;1;1;1;1;3;4;4
DRONE_DA_CACHOEIRAO;FCCH826;12/10/2015;24,07;1;0,20;-0,31;6,18;9,27;15,81;1,84;6,32;-28,12;42,56;1,342;2,027;-0,066;4,251;1,965;4,252;1,102;1,102;71;72;65;71;39;_;33;28;57;61;50;50;50;61;51;51;1;1;1;1;2;1;1;1;1;1;7;1;1;1;1;1
JARGON_KA;KAPM3840;10/09/2013;23,97;1;0,20;0,14;8,08;14,27;19,39;0,14;4,40;-39,2;39,25;0,648;1,109;1,769;1,996;3,438;3,101;-1,68;-1,68;83;83;79;80;46;_;36;27;73;74;55;55;55;70;60;60;6;1;1;1;5;1;1;1;1;1;1;2;1;1;10;10
NETHAN_DA_DICA;DICO7575;30/08/2016;23,94;1;1,56;0,30;15,17;18,52;18,72;1,79;10,03;-18,8;34,81;1,023;1,74;2,121;2,528;3,865;0,248;-1,257;-1,257;67;70;54;65;38;_;32;29;40;53;40;40;40;59;50;50;8;1;1;1;2;1;1;1;1;1;1;1;1;5;10;10
D4438_DA_MN;LBMND4438;17/08/2009;23,91;1;0,59;-0,01;7,35;12,29;21,69;3,46;7,48;-10,34;42,48;0,975;1,836;2,882;7,186;7,092;3,308;1,035;1,035;72;73;72;74;53;_;44;30;54;68;80;80;80;25;15;15;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
IMAN_BONS;BONS1913;27/09/2010;23,8;1;0,78;0,08;8,54;10,88;15,84;2,67;6,75;-18,89;41,15;1,639;2,427;0,991;4,011;4,718;3,756;2,279;2,279;83;83;81;83;63;_;59;39;73;74;62;62;62;67;56;56;6;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1
D7117_DA_MN;LBMND7117;02/11/2011;23,76;1;1,90;-0,30;9,67;15,65;20,18;0,22;5,06;-26,7;37,8;1,541;2,159;0,536;1,478;1,694;2,095;0,731;0,731;81;80;64;72;35;_;36;22;50;67;49;49;49;74;66;66;1;1;1;1;5;1;1;1;1;1;4;2;2;1;2;2
REM_FAIXA_PRETA_FIV;REMCA698;24/09/2016;23,72;1;1,95;0,22;7,29;12,42;17,65;1,11;4,22;-36,32;39,45;1,146;2,270;1,973;4,254;2,463;3,500;3,55;3,550;88;88;84;86;37;_;29;19;78;79;67;67;67;78;70;70;7;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1
ECLIPSE_FIV_DA_JACAMIM;MMVA2281;06/11/2017;23,69;1;3,91;0,34;7,18;14,18;18,82;2,21;6,87;-36,22;36,10;1,342;1,900;0,977;6,400;3,98;0,041;1,526;1,526;67;75;54;56;37;_;31;24;38;41;39;39;39;40;32;32;9;1;1;1;1;1;1;1;1;1;3;1;1;6;1;1
NEVI_DA_EAO;EAO2319;01/11/2008;23,6;1;0,000;0,28;5,46;8,22;8,38;3,26;8,25;-30,44;44,61;0,713;0,703;-1,141;0,148;0,419;3,468;0,139;0,139;90;91;90;91;83;_;77;71;84;87;87;87;87;83;76;76;8;1;1;2;1;1;1;1;1;1;10;5;5;1;5;5
REM_GOIAS_GENETICA_ADITIVA;REMCA 1325;31/08/2017;23,43;1;0,59;0,36;7,88;10,38;13,47;1,14;6,09;-34,79;40,86;0,964;1,701;-0,604;3,735;2,288;2,842;6,090;3,46;88;86;59;61;34;_;26;21;41;40;35;35;35;46;35;31;1;1;1;1;3;1;1;1;1;1;9;1;1;1;1;1
BRASIL_FVC;FVC9906;18/09/2014;23,4;1;1,17;1,24;12,46;17,86;25,75;0,88;7,38;-21,87;34,5;0,825;1,104;4,128;3,337;5,785;2,249;1,842;1,75;81;81;77;79;40;_;33;24;58;63;65;65;65;69;58;25;10;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1
LEGAL_DA_BELA;AZAP927;13/08/2013;23,38;1;2,05;0,95;12,79;18,87;22,94;2,15;9,71;-20,43;35,09;0,239;0,668;1,009;4,450;3,861;4,370;0,598;0,18;77;75;71;74;39;_;33;26;62;65;39;39;39;62;51;33;10;1;1;1;1;1;1;1;3;2;2;1;1;1;3;4
AVIADOR;JBOM8 ;12/04/2010;23,32;1;0,20;0,57;5,69;13,46;19,14;0,28;3,38;-25,71;44,08;0,511;0,817;0,054;2,257;2,797;2,582;0,250;3,89;66;84;83;84;61;_;52;35;75;77;38;38;38;42;30;28;10;1;1;1;5;1;1;1;1;1;6;1;1;1;4;1
NAVIRAI_ROCHA;CSCN14945;18/09/2015;23,23;1;0,0;0,62;13,32;19,73;23,36;2,03;10,19;-7,32;35,52;0,924;1,572;4,504;5,971;4,421;3,313;2,732;0,67;80;80;73;76;44;_;33;29;53;52;54;54;54;65;53;46;10;1;1;1;1;1;3;1;1;1;1;1;1;1;1;2
GOLDEN_DA_DI_GENIO;JCDG2562;03/10/2009;23,2;1;0,78;0,29;12,54;15,35;15,43;1,36;8,78;-25,32;37,71;0,545;0,688;0,612;3,886;4,266;2,064;1,073;0,79;81;80;77;79;67;_;58;50;66;71;72;72;72;52;39;26;8;1;1;1;2;1;1;1;1;1;4;1;1;1;1;2
REM_EL_TORO;REMC9828;22/10/2015;23,19;1;2,54;-0,70;5,31;9,31;13,56;5,69;10,49;-27,26;39,01;1,109;2,023;1,256;4,536;3,706;2,064;1,545;-0,26;87;87;83;84;28;_;19;18;73;75;37;37;37;76;66;51;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;7
NAVIRAI_FIV_SURREAL;CSCN15658;05/08/2016;23,19;1;0,78;0,80;7,16;13,04;16,66;1,66;5,03;-37,76;38,16;0,987;1,540;2,228;5,147;4,992;3,718;4,094;1,13;79;80;61;65;39;_;32;28;40;43;41;41;41;52;43;36;10;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
